@relation BNBUSD-N2Y
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric

@data
2022-04-02,446.844208,453.558472,436.776703,436.955353,436.955353,2272901729
2022-04-03,436.865814,455.228455,432.821716,450.348877,450.348877,2128734028
2022-04-04,450.264557,450.432617,434.178009,447.524933,447.524933,2248856403
2022-04-05,447.630035,459.805573,445.038605,445.172607,445.172607,2268650039
2022-04-06,445.001129,445.027649,418.881134,420.146362,420.146362,2323241738
2022-04-07,420.182648,438.293701,417.601044,436.796783,436.796783,2125042415
2022-04-08,436.934509,440.642975,419.433289,421.677246,421.677246,1951923760
2022-04-09,421.665344,428.020782,420.272552,427.153046,427.153046,1399108286
2022-04-10,427.14975,429.364105,418.590668,418.590668,418.590668,1410282903
2022-04-11,418.658447,419.490784,392.109924,394.086884,394.086884,2192782724
2022-04-12,394.288788,416.635803,393.166809,413.873932,413.873932,2140526232
2022-04-13,413.812653,424.335938,411.059265,423.130157,423.130157,1932053164
2022-04-14,423.067017,426.80722,412.047119,414.663727,414.663727,1615484732
2022-04-15,414.667114,419.796967,413.272614,417.293732,417.293732,1242920077
2022-04-16,417.293884,418.6586,411.912903,417.478455,417.478455,1022481382
2022-04-17,417.41153,417.880676,406.168304,407.377716,407.377716,1088306780
2022-04-18,407.432922,417.94696,397.149658,416.968414,416.968414,1925668122
2022-04-19,417.00766,424.274017,415.099396,422.387054,422.387054,1854452731
2022-04-20,422.364288,430.975159,415.728394,418.354248,418.354248,2035166767
2022-04-21,418.316864,425.474121,402.079681,405.021454,405.021454,2190281843
2022-04-22,404.96698,413.28125,404.109039,406.987518,406.987518,1895749713
2022-04-23,406.993347,407.897064,399.278412,401.652466,401.652466,1354484386
2022-04-24,401.525024,405.430573,398.346619,399.105377,399.105377,1222468479
2022-04-25,399.129913,404.873901,383.190674,404.350281,404.350281,1910707893
2022-04-26,404.26886,407.084503,382.080994,385.483063,385.483063,1671963898
2022-04-27,385.562164,394.458527,384.077698,391.445831,391.445831,1512587369
2022-04-28,391.43866,408.232452,388.877655,406.718201,406.718201,2116381172
2022-04-29,406.641724,410.175781,390.539978,393.062164,393.062164,1928209754
2022-04-30,392.998535,399.593079,377.767822,377.767822,377.767822,1467605770
2022-05-01,377.765656,391.076996,377.289948,390.281982,390.281982,1553846706
2022-05-02,390.261261,392.216705,382.774414,389.670654,389.670654,1388077917
2022-05-03,389.634155,391.754761,380.346222,383.4758,383.4758,1295877765
2022-05-04,383.483551,402.862701,383.42804,402.502655,402.502655,1714496792
2022-05-05,402.46521,412.40036,372.552765,378.773621,378.773621,2389487319
2022-05-06,378.756744,382.681091,371.973328,379.304291,379.304291,1834770716
2022-05-07,379.288177,380.387421,361.195587,365.684113,365.684113,1527960119
2022-05-08,365.733002,366.509583,351.143768,355.398743,355.398743,1875845651
2022-05-09,355.377411,358.950714,299.348938,299.348938,299.348938,2943374129
2022-05-10,298.820709,332.438843,290.586792,319.326965,319.326965,3210603809
2022-05-11,319.122772,322.766815,262.620453,269.962769,269.962769,3870618668
2022-05-12,269.888,283.475128,216.361496,269.407257,269.407257,4739990237
2022-05-13,269.142731,312.688782,265.709595,290.584198,290.584198,2774121165
2022-05-14,290.618073,298.802856,272.651154,297.387604,297.387604,1884570404
2022-05-15,297.397369,312.176544,286.643768,312.007721,312.007721,1611088257
2022-05-16,312.084137,312.144257,290.461823,297.710114,297.710114,1754184298
2022-05-17,297.69931,310.194458,296.961792,305.96344,305.96344,1584497815
2022-05-18,305.989868,307.711456,287.438782,287.438782,287.438782,1520090732
2022-05-19,287.45047,307.959808,287.2146,306.791565,306.791565,1646882950
2022-05-20,306.781067,315.273865,294.760803,302.359222,302.359222,1756670714
2022-05-21,302.365936,313.660156,300.130066,312.466034,312.466034,1318736979
2022-05-22,312.488037,322.857025,311.827332,319.609009,319.609009,1604297406
2022-05-23,319.51712,336.307526,316.349731,316.760559,316.760559,2228144099
